DATA_PRELIEVO_DIAGNOSI,CASI,iss_date
24/03/2021,24300,25/08/2022
24/03/2022,75657,25/08/2022
24/04/2020,2740,25/08/2022
24/04/2021,12080,25/08/2022
24/04/2022,24210,25/08/2022
24/05/2020,147,25/08/2022
24/05/2021,3997,25/08/2022
24/05/2022,22495,25/08/2022
24/06/2020,208,25/08/2022
24/06/2021,800,25/08/2022
24/06/2022,58339,25/08/2022
24/07/2020,312,25/08/2022
24/07/2021,4261,25/08/2022
24/07/2022,21198,25/08/2022
24/08/2020,1672,25/08/2022
24/08/2021,7963,25/08/2022
24/08/2022,1316,25/08/2022
24/09/2020,2013,25/08/2022
24/09/2021,3627,25/08/2022
24/10/2020,20290,25/08/2022
24/10/2021,1609,25/08/2022
24/11/2020,28885,25/08/2022
24/11/2021,13852,25/08/2022
24/12/2020,15968,25/08/2022
24/12/2021,59233,25/08/2022
25/01/2021,14387,25/08/2022
25/01/2022,159236,25/08/2022
25/02/2020,192,25/08/2022
25/02/2021,19583,25/08/2022
25/02/2022,39012,25/08/2022
25/03/2020,5805,25/08/2022
25/03/2021,23253,25/08/2022
25/03/2022,75515,25/08/2022
25/04/2020,1666,25/08/2022
25/04/2021,5268,25/08/2022
25/04/2022,28856,25/08/2022
25/05/2020,513,25/08/2022
25/05/2021,4045,25/08/2022
25/05/2022,22239,25/08/2022
25/06/2020,203,25/08/2022
25/06/2021,856,25/08/2022
25/06/2022,50029,25/08/2022
25/07/2020,196,25/08/2022
25/07/2021,2213,25/08/2022
25/07/2022,94763,25/08/2022
25/08/2020,1594,25/08/2022
25/08/2021,7767,25/08/2022
25/08/2022,<5,25/08/2022
25/09/2020,2105,25/08/2022
25/09/2021,2923,25/08/2022
25/10/2020,11337,25/08/2022
25/10/2021,4935,25/08/2022
25/11/2020,27488,25/08/2022
25/11/2021,13606,25/08/2022
25/12/2020,4592,25/08/2022
25/12/2021,15570,25/08/2022
26/01/2021,14676,25/08/2022
26/01/2022,152806,25/08/2022
26/02/2020,276,25/08/2022
26/02/2021,21027,25/08/2022
26/02/2022,31456,25/08/2022
26/03/2020,5702,25/08/2022
26/03/2021,23504,25/08/2022
26/03/2022,61202,25/08/2022
26/04/2020,1017,25/08/2022
26/04/2021,13711,25/08/2022
26/04/2022,100101,25/08/2022
26/05/2020,540,25/08/2022
26/05/2021,3699,25/08/2022
26/05/2022,19631,25/08/2022
26/06/2020,186,25/08/2022
26/06/2021,657,25/08/2022
26/06/2022,23721,25/08/2022
26/07/2020,91,25/08/2022
26/07/2021,6331,25/08/2022
26/07/2022,63076,25/08/2022
26/08/2020,1544,25/08/2022
26/08/2021,7024,25/08/2022
26/09/2020,1499,25/08/2022
26/09/2021,1321,25/08/2022
26/10/2020,28787,25/08/2022
26/10/2021,5150,25/08/2022
26/11/2020,26597,25/08/2022
26/11/2021,14186,25/08/2022
26/12/2020,7981,25/08/2022
26/12/2021,29508,25/08/2022
27/01/2021,13407,25/08/2022
27/01/2022,135180,25/08/2022
27/02/2020,287,25/08/2022
27/02/2021,16037,25/08/2022
27/02/2022,15456,25/08/2022
27/03/2020,5790,25/08/2022
27/03/2021,17368,25/08/2022
27/03/2022,27513,25/08/2022
27/04/2020,1981,25/08/2022
27/04/2021,14463,25/08/2022
27/04/2022,64230,25/08/2022
27/05/2020,523,25/08/2022
27/05/2021,3423,25/08/2022
27/05/2022,18605,25/08/2022
27/06/2020,124,25/08/2022
27/06/2021,278,25/08/2022
27/06/2022,105357,25/08/2022
27/07/2020,326,25/08/2022
27/07/2021,6430,25/08/2022
27/07/2022,59065,25/08/2022
27/08/2020,1523,25/08/2022
27/08/2021,7081,25/08/2022
27/09/2020,906,25/08/2022
27/09/2021,3539,25/08/2022
27/10/2020,31826,25/08/2022
27/10/2021,5242,25/08/2022
27/11/2020,24494,25/08/2022
27/11/2021,12415,25/08/2022
27/12/2020,7736,25/08/2022
27/12/2021,113483,25/08/2022
28/01/2021,12268,25/08/2022
